r0	r1	Norm
(33,37)	(41,45)	1.2494594439491435e-5	-8.689791439077758e-5	2.0
(33,37)	(45,49)	3.113417163480534e-5	5.5370018019761036e-6	3.0
(33,37)	(49,53)	1.92835488775884e-5	-1.9872520774971033e-7	4.0
(33,37)	(53,57)	1.034700109247608e-5	-7.483721206586763e-7	5.0
(33,37)	(57,61)	5.530541246407621e-6	-1.1342964734299679e-7	6.0
(33,37)	(61,65)	4.352758042640823e-6	-1.9663193409915762e-8	7.0
(33,37)	(65,69)	3.2127155329204247e-6	-4.2197210936715854e-8	8.0
(33,37)	(69,73)	2.2601479288433733e-6	-2.1225614614813392e-8	9.0
(33,37)	(73,77)	1.8355145955509009e-6	-1.2611255314124478e-8	10.0
(33,37)	(77,81)	1.4256245779562338e-6	-1.6695300101472573e-8	11.0
(33,37)	(81,85)	1.0573515487591895e-6	-8.49174951932696e-9	12.0
(33,37)	(85,89)	9.119501220685156e-7	-4.8592704247388074e-9	13.0
(33,37)	(89,93)	7.206461366590579e-7	-7.569298331300998e-9	14.0
(33,37)	(93,97)	5.431382605566343e-7	-3.319985583542574e-9	15.0
(33,37)	(97,101)	4.838928813747707e-7	-2.2523629198672615e-9	16.0
(33,37)	(101,105)	3.7807814906907534e-7	-4.217160497241119e-9	17.0
(33,37)	(105,109)	2.8313167276811065e-7	-1.482935879304589e-9	18.0
(33,37)	(109,113)	2.564597643236918e-7	-1.165641567371735e-9	19.0
(33,37)	(113,117)	1.92040820235189e-7	-2.4962830274268058e-9	20.0
(33,37)	(117,121)	1.383885367200311e-7	-6.441467332208735e-10	21.0
(33,37)	(121,125)	1.258097584438968e-7	-6.943054412443788e-10	22.0
(33,37)	(125,129)	8.397134103482883e-8	-1.6151347386442768e-9	23.0
