r0	r1	Norm
(33,37)	(41,45)	3.5587460467215068e-6	2.0036897357127864e-15	2.0
(33,37)	(45,49)	-9.462680809824625e-8	4.7674868006684234e-15	3.0
(33,37)	(49,53)	2.1247459272688072e-7	-1.863176326830387e-15	4.0
(33,37)	(53,57)	9.194227714233578e-7	1.1624493026776234e-15	5.0
(33,37)	(57,61)	2.904703065777549e-7	1.0269407988951324e-15	6.0
(33,37)	(61,65)	1.8505085877621207e-7	5.354862928697815e-16	7.0
(33,37)	(65,69)	1.556198298358992e-7	4.788309742483021e-16	8.0
(33,37)	(69,73)	1.1911987998044493e-7	3.801026203754011e-16	9.0
(33,37)	(73,77)	9.544729265053019e-8	2.8640087620129624e-16	10.0
(33,37)	(77,81)	7.889981946894717e-8	2.308466867627673e-16	11.0
(33,37)	(81,85)	6.274488341265319e-8	1.8262603051639574e-16	12.0
(33,37)	(85,89)	5.449234983025487e-8	1.5378148061992993e-16	13.0
(33,37)	(89,93)	4.499580978576021e-8	1.3073405120124003e-16	14.0
(33,37)	(93,97)	3.640180690945755e-8	9.786650151968373e-17	15.0
(33,37)	(97,101)	3.251766012915263e-8	8.968332898586064e-17	16.0
(33,37)	(101,105)	2.6671126505066974e-8	7.313904258260085e-17	17.0
(33,37)	(105,109)	2.148957338066042e-8	5.911808105523992e-17	18.0
(33,37)	(109,113)	1.9408497982100967e-8	5.305074840774284e-17	19.0
(33,37)	(113,117)	1.5437433792134403e-8	4.2186097502870185e-17	20.0
