r0	r1	Norm
(33,37)	(41,45)	2.3390013322583347e-5	-6.963750954683896e-5	2.0
(33,37)	(45,49)	2.5242223392723177e-5	1.2603173091730256e-5	3.0
(33,37)	(49,53)	1.6544688715977304e-5	4.134550679229996e-6	4.0
(33,37)	(53,57)	9.766544422970641e-6	2.352938638583547e-6	5.0
(33,37)	(57,61)	6.037432332158827e-6	1.6362280095462123e-6	6.0
(33,37)	(61,65)	4.258492746373326e-6	1.4975471731729122e-6	7.0
(33,37)	(65,69)	2.9903392751696152e-6	1.2562125332555424e-6	8.0
(33,37)	(69,73)	2.1393760052442664e-6	1.0963592425104652e-6	9.0
(33,37)	(73,77)	1.6921712545909844e-6	9.981335440906958e-7	10.0
(33,37)	(77,81)	1.2590601921685049e-6	8.146894807176231e-7	11.0
(33,37)	(81,85)	9.333019424845877e-7	7.184025809259801e-7	12.0
(33,37)	(85,89)	7.727755271638656e-7	6.649467279762985e-7	13.0
(33,37)	(89,93)	5.824600483420559e-7	5.398598171310424e-7	14.0
(33,37)	(93,97)	4.3114241172460656e-7	4.798165056965463e-7	15.0
(33,37)	(97,101)	3.649899383349605e-7	4.459611078811827e-7	16.0
(33,37)	(101,105)	2.6939756236419506e-7	3.512039317329306e-7	17.0
(33,37)	(105,109)	1.9170900414426038e-7	3.096909169244615e-7	18.0
(33,37)	(109,113)	1.6426185065522512e-7	2.86318707048303e-7	19.0
(33,37)	(113,117)	1.1488963923500043e-7	2.1273120648243255e-7	20.0
(33,37)	(117,121)	7.379466872853222e-8	1.8361691988753266e-7	21.0
(33,37)	(121,125)	6.312533382213438e-8	1.6489372692871483e-7	22.0
(33,37)	(125,129)	3.7794496858548175e-8	1.0237754257998326e-7	23.0
