r0	r1	Norm
(33,37)	(41,45)	0.0002588071847136973	-8.608100585788887e-14	2.0
(33,37)	(45,49)	0.00011491583717995971	-4.5664182043524923e-14	3.0
(33,37)	(49,53)	7.775341037353452e-5	-9.112934829625741e-15	4.0
(33,37)	(53,57)	4.695640329123064e-5	-1.44338226389791e-14	5.0
(33,37)	(57,61)	2.5715235766269704e-5	1.2366972656573644e-14	6.0
(33,37)	(61,65)	2.0757278915647205e-5	1.559163084796101e-14	7.0
(33,37)	(65,69)	1.5917933861166667e-5	1.082712604663573e-14	8.0
(33,37)	(69,73)	1.1654820283961992e-5	1.098486556032714e-14	9.0
(33,37)	(73,77)	9.742339203117411e-6	1.2261525738382554e-14	10.0
(33,37)	(77,81)	7.82261365533578e-6	1.003531735211621e-14	11.0
(33,37)	(81,85)	6.028619709097874e-6	8.39184963100877e-15	12.0
(33,37)	(85,89)	5.322589207456151e-6	8.170903344713762e-15	13.0
(33,37)	(89,93)	4.344569544036144e-6	7.220529658538174e-15	14.0
(33,37)	(93,97)	3.4032014106078924e-6	6.089502334629776e-15	15.0
(33,37)	(97,101)	3.1044165702702273e-6	5.425253221567171e-15	16.0
(33,37)	(101,105)	2.5105955038049236e-6	4.330359634612481e-15	17.0
(33,37)	(105,109)	1.956958568267588e-6	3.25611150776566e-15	18.0
(33,37)	(109,113)	1.8204161269024999e-6	3.1033785118395036e-15	19.0
(33,37)	(113,117)	1.4161704885805485e-6	2.4440047158491893e-15	20.0
