r0	r1	Real	Imag
33	37	0.83377646579128	-6.671581649988888e-17	1.0
33	41	0.8335093458773003	-1.8891803447510177e-16	2.0
33	45	0.8371532337585322	-1.0950614734307398e-16	3.0
33	49	0.8370860817218638	-5.028767398780003e-17	4.0
33	53	0.8355043119217789	-1.3872012108481518e-16	5.0
33	57	0.8378497541867389	8.524585880578835e-17	6.0
33	61	0.8370969131754803	1.6277350330812453e-17	7.0
33	65	0.8357730037138341	-1.451213704173056e-17	8.0
33	69	0.8379209236018907	-9.956928846739427e-17	9.0
33	73	0.8368419873737272	-9.926862569092429e-17	10.0
33	77	0.8359334651344672	6.689658984321286e-17	11.0
33	81	0.838150337652088	-6.828095633027834e-17	12.0
33	85	0.836660057496109	8.901744264726279e-17	13.0
33	89	0.8359937856385548	1.0535109341727195e-18	14.0
33	93	0.8382827320648591	-1.259181969353389e-16	15.0
33	97	0.8362897480403277	8.534510213090264e-17	16.0
33	101	0.8361081691950915	2.251437135654352e-16	17.0
33	105	0.8387608789085633	2.469196760718839e-16	18.0
33	109	0.8358349795444547	5.2294476713774065e-17	19.0
33	113	0.8360977003028774	1.316899757932734e-16	20.0
33	117	0.8392785783169355	1.1205654196545081e-16	21.0
33	121	0.834680700476222	6.042610543201642e-17	22.0
33	125	0.8367521704473019	-1.5793866968838635e-17	23.0
