r0	r1	Real	Imag
33	37	0.8337809387575129	4.79458260863001e-17	1.0
33	41	0.8335092981615636	7.551369630967817e-17	2.0
33	45	0.8371589416469724	1.0377616386444858e-16	3.0
33	49	0.8370909790800718	8.895990438668423e-17	4.0
33	53	0.8355055002321089	1.609383909583589e-16	5.0
33	57	0.8378566925620475	7.152354599375462e-17	6.0
33	61	0.8371020672447952	1.658419253034331e-18	7.0
33	65	0.835775002193535	4.119301303908772e-17	8.0
33	69	0.8379286165363845	-1.4967267893372056e-16	9.0
33	73	0.8368469289009951	-7.275592145859742e-17	10.0
33	77	0.8359357712415362	-1.0998591495903457e-16	11.0
33	81	0.8381581297294459	-1.7575393285492553e-16	12.0
33	85	0.8366640977710915	7.919315956570708e-20	13.0
33	89	0.835995504204136	1.7116947554907347e-16	14.0
33	93	0.838289533066113	2.418658044862506e-16	15.0
33	97	0.8362920921181995	2.778543609899925e-16	16.0
33	101	0.8361090238413681	5.28967931050274e-16	17.0
33	105	0.8387666099460916	5.146773496992709e-16	18.0
33	109	0.835835658719482	3.4719654653850796e-16	19.0
33	113	0.8360972598392311	2.0858116462503865e-16	20.0
33	117	0.8392823926902149	2.9307420300026347e-16	21.0
33	121	0.8346796513340182	2.990529506787926e-16	22.0
33	125	0.8367506854207347	4.787846632707305e-16	23.0
