y x	Ne
1	1	0.9906908488214627
1	2	0.9712708065222864
1	3	0.9408581047884493
1	4	0.9121117377238954
1	5	0.8986454752654631
1	6	0.9012686379849715
1	7	0.9097184571027602
1	8	0.9129574678544761
1	9	0.9084501063984107
1	10	0.9026849738979921
1	11	0.9028246746401276
1	12	0.9086046730665099
1	13	0.9130671668340653
1	14	0.9109539238455923
1	15	0.9049015429540951
1	16	0.9022203865398442
1	17	0.9061207447899835
1	18	0.911863441496231
1	19	0.9124591674888402
1	20	0.9070899286759827
1	21	0.9021259384609569
1	22	0.9034554444687718
1	23	0.9093264179996733
1	24	0.9124028450542755
1	25	0.9086490558859556
1	26	0.9023374809650553
1	27	0.9010242143187565
1	28	0.9063215900967053
1	29	0.9114809457611508
1	30	0.9090519987840459
1	31	0.9004485332226703
1	32	0.8967521209648252
1	33	0.9093609935828135
1	34	0.9383694190225965
1	35	0.969822965157502
1	36	0.9901769518975013
