y x	Ne
1	1	0.9908424567443856
1	2	0.9717608368836981
1	3	0.9418984853824114
1	4	0.9135677449030674
1	5	0.8998557780543902
1	6	0.9014713101494086
1	7	0.9087709561312437
1	8	0.911612433144612
1	9	0.9076877975147013
1	10	0.9026413229955972
1	11	0.9025410279534416
1	12	0.9070925856334682
1	13	0.9106025857525409
1	14	0.9089816689264885
1	15	0.9044604037216193
1	16	0.9026763220599334
1	17	0.9057995407119219
1	18	0.9099702096843852
1	19	0.9100615930713052
1	20	0.9059365529430243
1	21	0.9026212967878174
1	22	0.9041747407652584
1	23	0.9086723810998151
1	24	0.9104596623072703
1	25	0.9070553092055189
1	26	0.9023820623966641
1	27	0.9022557736628096
1	28	0.9072250939427028
1	29	0.9112889907353453
1	30	0.9086000407968073
1	31	0.9012407313094235
1	32	0.8993757035047599
1	33	0.9129013450484172
1	34	0.9413058469948802
1	35	0.9714184819060446
1	36	0.9907212756675787
