i=4*(x-1)+y	Ne
1	0.990878166972879
2	0.9908781473979021
3	0.990878140132001
4	0.990878156860988
5	0.9718762606179139
6	0.971876229665917
7	0.9718761613556613
8	0.9718761798436956
9	0.9421450993403915
10	0.9421451619910545
11	0.942145060963311
12	0.9421450152651314
13	0.9139183418872033
14	0.9139186091183511
15	0.9139184680074178
16	0.9139182164592414
17	0.9001629948306455
18	0.9001635183537948
19	0.9001635510634955
20	0.9001629579097115
21	0.9015654192222968
22	0.9015664978422775
23	0.9015667269590163
24	0.9015654802430054
25	0.9086196917026129
26	0.9086215379921123
27	0.908621924710624
28	0.9086197558512971
29	0.9113756167650124
30	0.9113783848679232
31	0.9113787841285254
32	0.9113755860899116
33	0.9075674151676602
34	0.9075709309418176
35	0.9075713297988807
36	0.907567220599923
37	0.9026568871624152
38	0.9026611730225764
39	0.9026612194174498
40	0.9026565238375366
41	0.9024898150155859
42	0.9024946009995741
43	0.9024944333740166
44	0.9024892526711651
45	0.9067825821754197
46	0.9067878009354855
47	0.9067875655402393
48	0.9067819731052609
49	0.9101089682115577
50	0.9101145498668544
51	0.9101144645363526
52	0.9101085481311328
53	0.9086006775533301
54	0.9086063348378656
55	0.9086064651913176
56	0.9086004454725277
57	0.9043774697962554
58	0.9043831519554761
59	0.9043833307430058
60	0.9043773169141088
61	0.9027324834475431
62	0.9027382612151006
63	0.9027382669323601
64	0.9027322927804844
65	0.9056612792635405
66	0.9056670005934401
67	0.905666814883214
68	0.9056605812731242
69	0.909524647663971
70	0.909530697363862
71	0.9095304741988959
72	0.9095239001600517
73	0.9095624128966584
74	0.9095684989168935
75	0.909568463172745
76	0.909561871147572
77	0.9057158179099417
78	0.9057217034381425
79	0.9057217530470854
80	0.9057153332144559
81	0.9027020438625107
82	0.9027077039549118
83	0.9027075121746659
84	0.9027012343039215
85	0.9042457286395722
86	0.9042513858322312
87	0.9042509297805821
88	0.9042446675064262
89	0.9084580560445548
90	0.9084637432854992
91	0.9084632677720382
92	0.9084570631052429
93	0.9100396593935232
94	0.9100452642429282
95	0.9100451753030325
96	0.9100390810305173
97	0.9067615418766809
98	0.9067668736099749
99	0.9067669066780627
100	0.9067613221649465
101	0.9024167498460829
102	0.9024215896606655
103	0.9024216767701708
104	0.9024165257118801
105	0.9024835218214107
106	0.90248783489578
107	0.9024876320663018
108	0.9024830655128163
109	0.9073588280951297
110	0.9073625356274769
111	0.907362098955579
112	0.9073582625624736
113	0.9112285707212683
114	0.9112313821988642
115	0.9112307985638269
116	0.9112278744714377
117	0.9085393445197446
118	0.9085413351721322
119	0.9085408529884951
120	0.9085388475412436
121	0.9014541325024873
122	0.9014552273236194
123	0.9014549961151552
124	0.9014539221430417
125	0.8999338875667913
126	0.8999343930191901
127	0.8999343307408365
128	0.899933844682689
129	0.9136019359421856
130	0.9136021272440232
131	0.9136021989911344
132	0.9136019899653864
133	0.9418639881258118
134	0.9418640287949532
135	0.9418641335968172
136	0.9418640852924773
137	0.9717137789688393
138	0.9717137500665637
139	0.9717138198453901
140	0.9717138455316817
141	0.9908205686595118
142	0.9908205466929377
143	0.9908205551394793
144	0.9908205798761461
