y x	Ne
1	1	0.9907779789188393
1	2	0.971542385237854
1	3	0.9414071340124627
1	4	0.9128428287884781
1	5	0.8992239225472354
1	6	0.9013592445227646
1	7	0.9093045247116559
1	8	0.912412884373205
1	9	0.908198920820444
1	10	0.9027396695334672
1	11	0.902734734944434
1	12	0.907957677423143
1	13	0.9120284672506285
1	14	0.9101712002266493
1	15	0.9047989949525775
1	16	0.9024832793175691
1	17	0.9060119907072676
1	18	0.911057176227237
1	19	0.911440055909264
1	20	0.9066183079117813
1	21	0.9023635841973281
1	22	0.9037747367083798
1	23	0.9090339247967012
1	24	0.911537715587975
1	25	0.9079234331121032
1	26	0.9023083981324195
1	27	0.9014959777277286
1	28	0.9066459190343379
1	29	0.9113334520524594
1	30	0.9087888834431509
1	31	0.9007017486516129
1	32	0.8977637858505237
1	33	0.9107537057587963
1	34	0.9395263377881983
1	35	0.9704498262468005
1	36	0.9903902336810234
