r0	r1	Norm
(33,37)	(41,45)	1.5319455795688654e-5	-1.1742738032119546e-16	2.0
(33,37)	(45,49)	-1.0701321505659977e-7	7.396777793074601e-15	3.0
(33,37)	(49,53)	6.406374558838555e-7	7.680430247539765e-15	4.0
(33,37)	(53,57)	7.586900479177645e-7	-2.4758068687407998e-15	5.0
(33,37)	(57,61)	4.720495002472797e-7	-3.751823831048495e-16	6.0
(33,37)	(61,65)	3.587737817807081e-7	1.5232267936729213e-16	7.0
(33,37)	(65,69)	2.7473560802161934e-7	2.0417094911471204e-16	8.0
(33,37)	(69,73)	2.134711131961494e-7	-9.472856244935328e-18	9.0
(33,37)	(73,77)	1.864510868127883e-7	1.3558476239034287e-16	10.0
(33,37)	(77,81)	1.4621891523305273e-7	1.0404935022406717e-16	11.0
(33,37)	(81,85)	1.1775322514468064e-7	9.89062873502988e-17	12.0
(33,37)	(85,89)	1.0744072144563402e-7	-6.909653697910744e-16	13.0
(33,37)	(89,93)	8.465161226866893e-8	-8.475985142137503e-16	14.0
(33,37)	(93,97)	7.053313934703219e-8	-1.4082199605453765e-16	15.0
(33,37)	(97,101)	6.665880367898848e-8	1.1753913490349321e-16	16.0
(33,37)	(101,105)	5.114625243955715e-8	5.331503095909231e-17	17.0
(33,37)	(105,109)	4.27453462050997e-8	2.5576379872386538e-17	18.0
(33,37)	(109,113)	4.094558069289557e-8	2.664965002589654e-17	19.0
(33,37)	(113,117)	2.9640343604886893e-8	2.6035866346649345e-17	20.0
(33,37)	(117,121)	2.5038325195011684e-8	1.4859074494931586e-17	21.0
(33,37)	(121,125)	2.4736998393111813e-8	2.3397645695925967e-17	22.0
(33,37)	(125,129)	1.5309096896591706e-8	1.6179388083741204e-17	23.0
