r0				r0+r		Pbb_real								Pbb_imag					r
(33,34)	(37,38)	0.002084837952526606	5.637702316688008e-9	1.0
(33,34)	(41,42)	0.0005212872725959136	2.595303852033795e-10	2.0
(33,34)	(45,46)	0.00026383220152342656	1.2564076832759043e-10	3.0
(33,34)	(49,50)	0.0001820134417969891	2.3810163047243165e-10	4.0
(33,34)	(53,54)	0.00011689375493879719	1.0348078288495027e-10	5.0
(33,34)	(57,58)	0.00010120712679104879	2.199113988359248e-11	6.0
(33,34)	(61,62)	0.00011166048762623122	2.100591799853449e-11	7.0
(33,34)	(65,66)	0.00011669046351904018	4.095757810137255e-11	8.0
(33,34)	(69,70)	9.954490465897536e-5	4.29871537510002e-11	9.0
(33,34)	(73,74)	7.074413233873524e-5	4.984027777763154e-11	10.0
(33,34)	(77,78)	5.402689512499508e-5	6.217387813234066e-11	11.0
(33,34)	(81,82)	5.6972528362783304e-5	2.3938079688542873e-11	12.0
(33,34)	(85,86)	6.413969366407779e-5	3.8183713262204036e-11	13.0
(33,34)	(89,90)	6.0003807545033056e-5	2.5368429487956716e-11	14.0
(33,34)	(93,94)	4.5125844322768086e-5	-2.591247708183709e-10	15.0
(33,34)	(97,98)	3.2191156210453404e-5	-2.1064600280832518e-11	16.0
(33,34)	(101,102)	3.0497212725839015e-5	-1.0783869078057898e-11	17.0
(33,34)	(105,106)	3.534106512728318e-5	8.32314801110915e-12	18.0
(33,34)	(109,110)	3.616214054814236e-5	1.3490994807923811e-11	19.0
(33,34)	(113,114)	2.9390097638229856e-5	-8.779661245792091e-12	20.0
(33,34)	(117,118)	2.0676172611277597e-5	4.081708304614233e-11	21.0
(33,34)	(121,122)	1.785782969078859e-5	3.9856948309483294e-12	22.0
(33,34)	(125,126)	2.2045687501520337e-5	9.306916469460975e-12	23.0
