r0	r1	Real	Imag
13	16	0.8374917822510881	-4.0316698109031985e-18	1.0
13	19	0.8354187439659126	-1.4557687951234471e-16	2.0
13	22	0.8433393099067396	-9.031232861205833e-17	3.0
13	25	0.8474405579930889	-1.9986554610595123e-16	4.0
13	28	0.8421920910949181	-1.859171794762263e-16	5.0
13	31	0.8398736769375069	-2.628653506133599e-16	6.0
13	34	0.8449821340407834	-2.0187343043246705e-16	7.0
13	37	0.846562491829492	-3.899975630604704e-16	8.0
13	40	0.8420081443807248	-4.009450854540909e-16	9.0
13	43	0.8410740210611529	-6.164506729292911e-16	10.0
13	46	0.8452368942426001	-7.761853211679113e-16	11.0
13	49	0.8459444848769271	-7.941098030855501e-16	12.0
13	52	0.8419447455506398	-6.290694215565067e-16	13.0
13	55	0.841495981178419	-6.333634127496217e-16	14.0
13	58	0.8455778753444967	-4.50199762536286e-16	15.0
13	61	0.8456246918282727	-5.51699351242557e-16	16.0
13	64	0.8415523342773008	-4.530140781351345e-16	17.0
13	67	0.8419203734789017	-7.060161063191981e-16	18.0
13	70	0.8459273241429411	-8.155102980034806e-16	19.0
13	73	0.8453319233291234	-6.708988938772416e-16	20.0
13	76	0.8411873753008892	-5.478398733830227e-16	21.0
13	79	0.8420216096808357	-8.034491891437706e-16	22.0
13	82	0.8465922840987954	-8.26072628088765e-16	23.0
13	85	0.8452051580126145	-1.0070969768335795e-15	24.0
13	88	0.8401769866927992	-9.7089047882148e-16	25.0
13	91	0.8423389732205744	-8.256256117814439e-16	26.0
13	94	0.8477318156054626	-7.453241781615549e-16	27.0
13	97	0.8448470453299678	-1.01474085777147e-15	28.0
13	100	0.8385487450989244	-1.0720412700225969e-15	29.0
13	103	0.8422664280615837	-8.483268296320711e-16	30.0
13	106	0.8508789095107475	-8.65012251641086e-16	31.0
13	109	0.8442820912108402	-8.275998394350753e-16	32.0
