r0	r1	Norm
(33,37)	(41,45)	0.00020360187567343034	4.683829422803304e-11	2.0
(33,37)	(45,49)	0.00011087096566034051	1.964804088708419e-11	3.0
(33,37)	(49,53)	7.472513837866054e-5	1.456098594815303e-11	4.0
(33,37)	(53,57)	4.569297287583655e-5	1.3891720135173772e-11	5.0
(33,37)	(57,61)	2.9660580931809013e-5	-2.1245229737714835e-11	6.0
(33,37)	(61,65)	2.2432146965785578e-5	6.442122849225775e-11	7.0
(33,37)	(65,69)	1.6237621752428087e-5	7.288455403073745e-11	8.0
(33,37)	(69,73)	1.1998553762702483e-5	-2.6717551254630466e-11	9.0
(33,37)	(73,77)	1.0162098517779265e-5	4.36637189787697e-11	10.0
(33,37)	(77,81)	7.560265804442671e-6	1.722591458694576e-11	11.0
(33,37)	(81,85)	5.789553423959706e-6	1.9245435406545978e-11	12.0
(33,37)	(85,89)	5.110418742055144e-6	3.482330799120486e-12	13.0
(33,37)	(89,93)	3.7958043135689686e-6	2.4680581368985217e-11	14.0
(33,37)	(93,97)	2.976601561336288e-6	1.3972966631165404e-11	15.0
(33,37)	(97,101)	2.671955670756146e-6	8.503289316918485e-12	16.0
(33,37)	(101,105)	1.936360163635212e-6	8.704407999180152e-12	17.0
(33,37)	(105,109)	1.5276713474706887e-6	8.602472587674893e-12	18.0
(33,37)	(109,113)	1.373960838200429e-6	8.57434994754542e-12	19.0
(33,37)	(113,117)	9.499863984350385e-7	5.3712057975722456e-12	20.0
(33,37)	(117,121)	7.533919150750953e-7	4.122030649736131e-12	21.0
(33,37)	(121,125)	6.70007189991827e-7	3.566853290577466e-12	22.0
(33,37)	(125,129)	3.969737392506904e-7	2.0284992239258935e-12	23.0
